gene_id,class,toxin_family,CLP2057,CLP2065,CLP2068,CLP2071,CLP2105,CLP2109,CLP2137,KW1744
Ccera-CLP2137ngen_3FTx-3_ngenContig4025_-_CDS,Toxin,3FTx,14,331,3371,6208,0,21,998,9
Ccera-CLP2071ngen_3FTx-2_ngenContig3932_-_CDS,Toxin,3FTx,0,2,11,66,0,0,2,0
Ccera-KW1744ext_BPP-1a_extContig132_-_CDS,Toxin,BPP,16307,3654,202,177458,67607,302946,35207,210042
Ccera-CLP2057ext_CRISP-1_extContig85_-_CDS,Toxin,CRISP,55128,3552,19035,21675,15752,4398,11357,73752
Ccera-CLP2057ext_CTL-9_extContig40_-_CDS,Toxin,CTL,24653.9,66738.86,32859.91,17608.99,49785.37,55172.39,27907.98,14350
Ccera-CLP2105ext_CTL-10_extContig63_-_CDS,Toxin,CTL,28240.92,57830.09,21417.69,20436.26,49931.82,49517.83,29635.01,12895.58
Ccera-CLP2105ngen_CTL-1_ngenContig1418_-_CDS,Toxin,CTL,4281.63,54705.29,7645.79,6051.64,162716.16,13517.49,8223.27,3758.36
Ccera-CLP2057ext_CTL-9_ngenContig2269_-_CDS,Toxin,CTL,2904.36,41240.53,6698.87,2040.55,140895.16,8898.51,16300.74,6833.97
Ccera-CLP2105ext_CTL-11a_extContig93_-_CDS,Toxin,CTL,41993.5,20335.72,20034.67,18601.82,11952.11,23364.44,1.01,0
Ccera-CLP2068ngen_CTL-8_ngenContig4583_-_CDS_-_CDS,Toxin,CTL,932.53,4924.19,7187.25,6834.87,21897.17,18349.78,4050.4,9325.62
Ccera-CLP2057ext_CTL-5_extContig12_-_CDS,Toxin,CTL,24506.38,5918.71,2469.31,6163.88,11445.85,3331.4,6953.59,8006.45
Ccera-CLP2105ext_CTL-2_extContig331_-_CDS,Toxin,CTL,1523.05,6928,419,950.98,28668.15,1106.03,2794,1532
Ccera-CLP2071ngen_CTL-6_ngenContig1557_-_CDS,Toxin,CTL,4,4,113,511,38,2,8,1568
Ccera-CLP2071ngen_CTL-4_ngenContig5757_-_CDS,Toxin,CTL,34.37,10.71,91.8,1252.41,1.21,23.85,94.65,1.02
Ccera-CLP2071ngen_CTL-3_ngenContig5760_-_CDS,Toxin,CTL,4.35,17.9,122.71,718.6,0,2.27,1.35,0
Ccera-CLP2071ngen_Ficolin-5_ngenContig3295_-_CDS,Toxin,Ficolin,2,5,32,673,4,1,28,24
Ccera-CLP2071ngen_Ficolin-5_ngenContig3293_-_CDS,Toxin,Ficolin,5,24,66,372,11,1,33,22
Ccera-CLP2071_FusedToxin_ngenContig419_-_CDS,Toxin,FusedToxin,0,0,9,378,0,0,12,0
Ccera-CLP2057ext_HYAL-1_ngenContig73_-_CDS,Toxin,HYAL,5129,2142,3580,5091,3611,3622,3147,5526
Ccera-CLP2057ext_KUN-1_ngenContig2468_-_CDS,Toxin,KUN,385,599,249,573,433,710,388,390
Ccera-CLP2057ext_LAAO-1a_extContig26_-_CDS,Toxin,LAAO,41083,82634,114285,180113,180125,170066,224304,208661
Ccera-CLP2105ext_MYO-2_extContig94_-_CDS,Toxin,MYO,1,1930.91,816,474,2006.01,1093,2457,4064
Ccera-CLP2057ext_MYO-2_ngenContig2065_-_CDS,Toxin,MYO,333,1392.09,187,60,1107.99,6,12,4
Ccera-CLP2057ext_NGF-1a_extContig124_-_CDS,Toxin,NGF,31089,26491,14908,35821,20879,25618,32058,28652
Ccera-CLP2057ext_NUC-1a_ngenContig1600_-_CDS,Toxin,NUC,9810,11685,7152,15959,8203,10000,13201,12463
Ccera-CLP2137ngen_PDE-1_ngenContig692_-_CDS,Toxin,PDE,7659,4508,5725,11385,4838,8372,9107,11637
Ccera-CLP2057ext_PLA2-1a_extContig89_-_CDS,Toxin,PLA2,331224,75089,84123,494705,111314,250183,160529,156452
Ccera-CLP2057ext_SVMPII-3a_extContig122_-_CDS,Toxin,SVMPII,31691.37,207066.01,227683.34,1906.02,440298.63,131581.36,164119.64,112744.76
Ccera-CLP2057_SVMPII_extContig548_-_CDS,Toxin,SVMPII,207861.16,37246.93,104706.56,74118.73,96439.14,41333.26,28025.84,94241.65
Ccera-CLP2065ext_SVMPII-6a_extContig147_-_CDS_-_CDS,Toxin,SVMPII,4282.88,83957.8,159663.9,13402.18,93541.21,51487.37,88203.05,144513.06
Ccera-CLP2057_SVMPII_extContig132_-_CDS,Toxin,SVMPII,82315.8,27983.79,62892.49,11253.13,46465.92,37034.81,27098.28,41761.59
Ccera-CLP2105ext_SVMPII-4_extContig172_-_CDS,Toxin,SVMPII,113.96,403.96,9537.76,351.94,32406.55,697.51,17897.79,12822.06
Ccera-CLP2065ngen_SVMPII-3a_ngenContig2887_-_CDS_-_CDS,Toxin,SVMPII,4721.3,6449.21,12443.63,83.2,18973.52,4910.03,11106.12,7696.91
Ccera-CLP2065ext_SVMPIII-4a_extContig415_-_CDS_-_CDS,Toxin,SVMPIII,31392.07,272147.94,773439.61,176.41,708988.36,201868.12,255000.29,12852.74
Ccera-CLP2057_SVMPIII_extContig496_-_CDS,Toxin,SVMPIII,338520.52,76938.91,297363.91,248424.74,130860.01,157561.95,55595.32,471473.67
Ccera-CLP2057_SVMPIII_extContig339_-_CDS,Toxin,SVMPIII,366633.93,26764.46,76933.06,306841.64,4869.42,60932.47,22094.11,213014.79
Ccera-CLP2057ext_SVMPIII-1_extContig546_-_CDS,Toxin,SVMPIII,188788.64,30789.71,85542.75,53174.88,62878.78,43280.22,56070.55,116529.81
Ccera-CLP2057ext_SVMPIII-1_extContig273_-_CDS,Toxin,SVMPIII,157919.5,30363.35,75099.9,76336.05,68237.88,41607.22,52295,133244.75
Ccera-CLP2057_SVMPIII_extContig50_-_CDS,Toxin,SVMPIII,112220.8,16105.79,48835.82,54477.05,41610.12,29976.42,34416.14,100184.56
Ccera-CLP2057_SVMPIII_extContig296_-_CDS,Toxin,SVMPIII,126066.38,8245.38,30380.73,56565.22,24754.98,16828.52,1943.24,101432.59
Ccera-CLP2105ngen_SVMPIII-7a_ngenContig1026_-_CDS,Toxin,SVMPIII,9194.69,17822.31,75873.31,63923.72,73392.49,23678.67,16493.09,44328.76
Ccera-CLP2057ext_SVMPIII-4_extContig544_-_CDS,Toxin,SVMPIII,64678.8,21717.98,79947.42,7456.82,57683.99,11728.32,30040,12510.31
Ccera-CLP2057ext_SVMPIII-2_extContig390_-_CDS,Toxin,SVMPIII,58713.2,4902.46,20018.8,15018.29,6950.01,11451.77,12160.54,24783.99
Ccera-CLP2057ext_SVSP-4a_extContig5_-_CDS,Toxin,SVSP,83121.87,96124.05,105919.24,41987.81,50032.84,89846.59,36895.87,29217.79
Ccera-CLP2057_SVSP_extContig285_-_CDS,Toxin,SVSP,100858.01,26249.92,37861.72,18449.83,39945.48,41078.47,29072.23,64703.95
Ccera-CLP2057_SVSP_extContig10_-_CDS,Toxin,SVSP,68054.41,50567.05,42314.68,11357.36,40789.42,41821.2,33408.63,31831.34
Ccera-CLP2057_SVSP_extContig106_-_CDS,Toxin,SVSP,28130.35,59011.68,44322.94,2678.12,43587.98,28627.38,45470.17,53915.9
Ccera-CLP2057ext_SVSP-6_ngenContig894_-_CDS,Toxin,SVSP,9827.05,31918.61,37665.05,838,21420.58,30031.48,23510.18,27411.9
Ccera-CLP2057_SVSP_extContig97_-_CDS,Toxin,SVSP,31213.61,13874.25,18099.42,4418,13624.33,23931.03,8455.22,22130.33
