gene_id,class,toxin_family,CLP2057,CLP2065,CLP2068,CLP2071,CLP2105,CLP2109,CLP2137,KW1744,Average
Ccera-CLP2057ext_PLA2-1a_extContig89_-_CDS,toxin,pla2,226857.5,62213.69,73443.65,318265.83,82100.43,191324.69,143745.55,95528.51,149184.9813
Ccera-KW1744ext_BPP-1a_extContig132_-_CDS,t,BPP,6464.7,1746.18,101.69,65866.51,28013.78,134445.91,18271.08,73668.48,41072.29125
Ccera-CLP2065ext_SVMPIII-4a_extContig415_-_CDS_-_CDS,T,svMPIII,3203.27,33355.34,99827.83,16.8,73414.26,23120.73,34106.59,1151.35,33524.52125
Ccera-CLP2057ext_CTL-9_extContig40_-_CDS,Tox,ctl,16104.39,52716.56,27349.54,10800.64,34904.56,40251.85,23837.31,8349.59,26789.305
Ccera-CLP2057ext_SVMPII-3a_extContig122_-_CDS,tox,SVMPII,4236.59,33261.2,38515.85,237.85,59917.25,19738.11,28754.05,13242.53,24737.92875
Ccera-CLP2057_SVMPIII_extContig496_-_CDS,Toxin,SVMPIII,35049.53,9568.36,38944.44,24002.24,13751.05,18310.6,7544.95,42855.93,23753.3875
Ccera-CLP2105ext_CTL-10_extContig63_-_CDS,Toxin,CTL,17065.77,42232.82,16480.17,11589.48,32220.19,33435.26,23421.54,6932.31,22922.1925
Ccera-CLP2105ngen_CTL-1_ngenContig1418_-_CDS,Toxin,CTL,2506.89,38699.35,5698.77,3324.46,101533.75,8844.85,6297.51,1956.58,21107.77
Ccera-CLP2057ext_SVSP-4a_extContig5_-_CDS,Toxin,SVSP,23186.78,32276.02,37459.99,10951.33,14415.08,28086.28,13479.95,7188.34,20880.47125
Ccera-CLP2057ext_LAAO-1a_extContig26_-_CDS,Toxin,LAAO,5038.84,12176.51,17734.85,20618.97,22464.49,23408.06,36057.04,22479.35,19997.26375
Ccera-CLP2057ext_CTL-9_ngenContig2269_-_CDS,Toxin,CTL,1813.29,31124.1,5326.92,1195.85,94129.03,6206.57,13309.12,3797.62,19612.8125
Ccera-CLP2057ext_VEGF-1_extContig1_-_CDS,Toxin,VEGF,24842.07,11986.74,3736.43,52862.7,2933.13,16739.39,4915.78,2306.3,15040.3175
Ccera-CLP2057_SVMPIII_extContig339_-_CDS,Toxin,SVMPIII,37010.38,3245.12,9823.11,28903.62,498.76,6904.05,2923.43,18876.77,13523.155
Ccera-CLP2057_SVSP_extContig285_-_CDS,Toxin,SVSP,27456.19,8600.92,13066.49,4695.78,11223.81,12532.5,10365.89,15532.46,12934.255
